Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,820809,-,-,-,34.12,-118.39,0,342,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,Pressure,Wind Speed,Relative Humidity
2018,1,1,0,0,16.1,119,974,0.9,38.06
2018,1,1,1,0,14.5,0,975,0.9,47.660000000000004
2018,1,1,2,0,13.700000000000001,0,975,1.1,54.29
2018,1,1,3,0,13.3,0,976,1.3,56.27
2018,1,1,4,0,12.9,0,976,1.3,54.83
2018,1,1,5,0,12.5,0,976,1.4000000000000001,51.56
2018,1,1,6,0,12.200000000000001,0,977,1.4000000000000001,48.11
2018,1,1,7,0,12.200000000000001,0,977,1.3,44.54
2018,1,1,8,0,11.9,0,977,1.3,42.79
2018,1,1,9,0,11.5,0,977,1.4000000000000001,40.95
2018,1,1,10,0,10.700000000000001,0,977,1.6,39.47
2018,1,1,11,0,10.200000000000001,0,976,1.9000000000000001,36.800000000000004
2018,1,1,12,0,10,0,976,1.8,34.1
2018,1,1,13,0,9.9,0,977,2,32.61
2018,1,1,14,0,9.8,0,977,2.2,31.7
2018,1,1,15,0,10.9,0,978,2.3000000000000003,28.97
2018,1,1,16,0,14.700000000000001,140,978,3.1,22.56
2018,1,1,17,0,17.400000000000002,311,978,2.6,20.990000000000002
2018,1,1,18,0,20.5,449,978,1.7000000000000002,17.490000000000002
2018,1,1,19,0,22.400000000000002,537,978,1,15.43
2018,1,1,20,0,23,455,977,1.7000000000000002,15.530000000000001
2018,1,1,21,0,22.900000000000002,418,977,1.9000000000000001,16.47
2018,1,1,22,0,22.6,322,976,1.8,17.98
2018,1,1,23,0,20.5,197,976,1.6,23.94
2018,1,2,0,0,17.3,75,976,1.5,34.42
2018,1,2,1,0,16.2,0,976,1.2000000000000002,39.5
2018,1,2,2,0,15.4,0,977,0.9,42.76
2018,1,2,3,0,15.100000000000001,0,977,0.6000000000000001,44.28
2018,1,2,4,0,15,0,977,0.5,44.14
2018,1,2,5,0,15.100000000000001,0,977,0.4,43.01
2018,1,2,6,0,15,0,977,0.4,43.33
2018,1,2,7,0,15.200000000000001,0,978,0.5,43.12
2018,1,2,8,0,14.600000000000001,0,977,0.9,44.730000000000004
2018,1,2,9,0,14.200000000000001,0,977,0.9,43.33
2018,1,2,10,0,14,0,978,1.1,41.92
2018,1,2,11,0,13.3,0,977,1.2000000000000002,41
2018,1,2,12,0,13.100000000000001,0,977,1.3,39.300000000000004
2018,1,2,13,0,13.200000000000001,0,977,1.6,37.02
2018,1,2,14,0,13.4,0,977,1.7000000000000002,34.92
2018,1,2,15,0,13.9,0,978,1.7000000000000002,32.93
2018,1,2,16,0,15.600000000000001,83,978,2,29.330000000000002
2018,1,2,17,0,17.7,101,978,2.5,25.1
2018,1,2,18,0,20.200000000000003,331,978,2.2,20.94
2018,1,2,19,0,22.5,438,977,2.1,16.97
2018,1,2,20,0,23.6,558,976,1.6,15.08
2018,1,2,21,0,24,525,975,1.1,14.61
2018,1,2,22,0,23.5,431,975,0.7000000000000001,16.61
2018,1,2,23,0,21.400000000000002,289,975,0.8,21.16
2018,1,3,0,0,19.1,90,975,1.1,26.54
2018,1,3,1,0,17.7,0,975,1.2000000000000002,30.79
2018,1,3,2,0,17.3,0,976,1.3,32.4
2018,1,3,3,0,16.900000000000002,0,976,1.4000000000000001,32.86
2018,1,3,4,0,16.2,0,976,1.3,32.97
2018,1,3,5,0,15.8,0,976,1.2000000000000002,33.160000000000004
2018,1,3,6,0,15.4,0,976,1.3,33.68
2018,1,3,7,0,14.9,0,976,1.5,34.2
2018,1,3,8,0,15.100000000000001,0,976,1.8,32.87
2018,1,3,9,0,15.5,0,975,2.2,30.990000000000002
2018,1,3,10,0,15.600000000000001,0,975,2.3000000000000003,29.92
2018,1,3,11,0,15.5,0,975,2.2,29.27
2018,1,3,12,0,15.3,0,975,2.2,29.05
2018,1,3,13,0,15.200000000000001,0,975,2.1,28.67
2018,1,3,14,0,15.100000000000001,0,975,2,28.51
2018,1,3,15,0,15.600000000000001,0,975,2,27.59
2018,1,3,16,0,17.7,31,976,2.3000000000000003,24.45
2018,1,3,17,0,19.6,115,976,2.4000000000000004,22.11
2018,1,3,18,0,21.1,81,976,2.1,20.04
2018,1,3,19,0,21.8,65,975,1.6,19.25
2018,1,3,20,0,21.700000000000003,69,974,1.3,19.830000000000002
2018,1,3,21,0,21.400000000000002,120,973,0.8,20.92
2018,1,3,22,0,21,189,973,0.8,22.44
2018,1,3,23,0,20,218,973,1,26.59
2018,1,4,0,0,18.2,65,974,1,32.31
2018,1,4,1,0,17.6,0,974,0.8,34.32
2018,1,4,2,0,17.400000000000002,0,975,0.8,34
2018,1,4,3,0,17,0,975,0.9,33.49
2018,1,4,4,0,16.7,0,975,0.9,32.84
2018,1,4,5,0,16.400000000000002,0,975,0.9,32.2
2018,1,4,6,0,16.1,0,975,1,31.86
2018,1,4,7,0,15.9,0,975,1.1,32.02
2018,1,4,8,0,16.1,0,975,0.9,32.13
2018,1,4,9,0,16.3,0,975,0.6000000000000001,32.49
2018,1,4,10,0,16,0,975,0.5,34.08
2018,1,4,11,0,15.600000000000001,0,975,0.4,36.19
2018,1,4,12,0,15.200000000000001,0,976,0.6000000000000001,38.410000000000004
2018,1,4,13,0,14.9,0,976,0.7000000000000001,39.31
2018,1,4,14,0,14.700000000000001,0,977,0.8,40.02
2018,1,4,15,0,14.9,0,977,0.8,40.660000000000004
2018,1,4,16,0,16.1,127,977,0.9,38.85
2018,1,4,17,0,17.8,225,978,0.9,38.21
2018,1,4,18,0,20.1,433,978,0.6000000000000001,39.18
2018,1,4,19,0,21.6,525,977,1.4000000000000001,39.02
2018,1,4,20,0,22.200000000000003,557,976,2,39.86
2018,1,4,21,0,22.200000000000003,524,976,2.5,41.85
2018,1,4,22,0,21.700000000000003,435,975,2.6,44.82
2018,1,4,23,0,20.700000000000003,296,976,2.5,49.33
2018,1,5,0,0,17.7,127,976,1.6,61.26
2018,1,5,1,0,15.200000000000001,0,976,1.5,74.14
2018,1,5,2,0,14.5,0,977,1.7000000000000002,79.56
2018,1,5,3,0,14.100000000000001,0,978,1.8,83.95
2018,1,5,4,0,14.200000000000001,0,978,1.5,85.25
2018,1,5,5,0,14.200000000000001,0,978,1.3,86.22
2018,1,5,6,0,14,0,979,1.3,88.07000000000001
2018,1,5,7,0,13.9,0,978,1.3,89.16
2018,1,5,8,0,14,0,978,1.2000000000000002,88.84
2018,1,5,9,0,14.100000000000001,0,978,1,88
2018,1,5,10,0,13.9,0,977,0.8,88.02
2018,1,5,11,0,13.8,0,977,0.7000000000000001,87.38
2018,1,5,12,0,13.5,0,977,0.8,87.59
2018,1,5,13,0,13.200000000000001,0,977,0.8,87.60000000000001
2018,1,5,14,0,13,0,978,0.8,87.78
2018,1,5,15,0,13.3,0,979,0.8,86.8
2018,1,5,16,0,15.600000000000001,135,979,1.2000000000000002,78.11
2018,1,5,17,0,18,305,979,0.6000000000000001,68.27
2018,1,5,18,0,20.1,449,979,0.5,55.63
2018,1,5,19,0,21.200000000000003,540,978,1.3,49.99
2018,1,5,20,0,21.6,571,977,1.9000000000000001,48.300000000000004
2018,1,5,21,0,21.6,534,977,2.2,47.63
2018,1,5,22,0,21.1,395,977,2.3000000000000003,48.22
2018,1,5,23,0,20,217,977,2.4000000000000004,51.74
2018,1,6,0,0,17.2,96,977,2.2,64.15
2018,1,6,1,0,15.600000000000001,0,978,2.1,74.52
2018,1,6,2,0,15.100000000000001,0,978,1.6,78.2
2018,1,6,3,0,15,0,978,1.3,78.36
2018,1,6,4,0,15,0,979,1.1,78.37
2018,1,6,5,0,15.100000000000001,0,978,0.9,78
2018,1,6,6,0,15.200000000000001,0,978,0.8,76.62
2018,1,6,7,0,15.100000000000001,0,978,0.7000000000000001,76.27
2018,1,6,8,0,15,0,977,0.8,75.53
2018,1,6,9,0,14.9,0,977,0.9,74.60000000000001
2018,1,6,10,0,15,0,976,0.7000000000000001,72.46000000000001
2018,1,6,11,0,15.100000000000001,0,976,0.6000000000000001,71.2
2018,1,6,12,0,15.100000000000001,0,976,0.6000000000000001,70.74
2018,1,6,13,0,14.9,0,976,0.8,72.21000000000001
2018,1,6,14,0,14.600000000000001,0,977,0.9,74.36
2018,1,6,15,0,14.700000000000001,0,977,0.7000000000000001,75.03
2018,1,6,16,0,15.600000000000001,32,978,0.6000000000000001,71.75
2018,1,6,17,0,17.400000000000002,61,978,0.6000000000000001,64.03
2018,1,6,18,0,19.400000000000002,244,978,1.4000000000000001,55.11
2018,1,6,19,0,19.900000000000002,385,977,1.9000000000000001,53.01
2018,1,6,20,0,20,397,976,2.3000000000000003,53.54
2018,1,6,21,0,19.8,406,975,2.8000000000000003,55.300000000000004
2018,1,6,22,0,19.3,301,975,3,58.32
2018,1,6,23,0,18.3,209,975,2.7,63.64
2018,1,7,0,0,16.5,34,975,1.8,73.11
2018,1,7,1,0,15,0,975,1.5,82.34
2018,1,7,2,0,14.5,0,975,1.2000000000000002,86.27
2018,1,7,3,0,14.3,0,976,1,87.97
2018,1,7,4,0,14.100000000000001,0,976,1,89.13
